Site Name,Device Hostname,Device Description,Software,Version
The Township of Pennsauken,p145PM-8,P145PM-8,Splashtop Business,3.4.8.3
The Township of Pennsauken,p145PM-8,P145PM-8,Splashtop Software Updater,1.5.6.23
The Township of Pennsauken,p145PM-8,P145PM-8,Splashtop Streamer,3.7.2.4
The Township of Pennsauken,p145PM-8,P145PM-8,Teams Machine-Wide Installer,1.3.0.26064
The Township of Pennsauken,p145PM-8,P145PM-8,TeamViewer,15.42.7
The Township of Pennsauken,p145PM-8,P145PM-8,Xerox Desktop Print Experience 8.0,8.110.9.0
The Township of Pennsauken,p145PM-8,P145PM-8,Zoom,5.15.3 (18551)
The Township of Pennsauken,p151JV-3520,P151JV-3520,Aplicaciones de Microsoft 365 para negocios - es-es,16.0.17928.20392
The Township of Pennsauken,p151JV-3520,P151JV-3520,AutoElevate,2.9.5
The Township of Pennsauken,p151JV-3520,P151JV-3520,CloudRadial Agent,1.6.4.0
The Township of Pennsauken,p151JV-3520,P151JV-3520,Datto RMM,4.4.2236.2236
The Township of Pennsauken,p151JV-3520,P151JV-3520,Dell Command | Update for Windows Universal,4.4.0
The Township of Pennsauken,p151JV-3520,P151JV-3520,Dell Optimizer Service,2.0.753.0
The Township of Pennsauken,p151JV-3520,P151JV-3520,Dell Power Manager Service,3.10.0
The Township of Pennsauken,p151JV-3520,P151JV-3520,Dell SupportAssist,3.10.4.18
The Township of Pennsauken,p151JV-3520,P151JV-3520,Dell SupportAssist OS Recovery Plugin for Dell Update,5.4.1.14954
The Township of Pennsauken,p151JV-3520,P151JV-3520,Dell SupportAssist Remediation,5.5.5.16206
The Township of Pennsauken,p151JV-3520,P151JV-3520,DNS Agent,1.14.1.0
The Township of Pennsauken,p151JV-3520,P151JV-3520,ExpressConnect Drivers & Services,2.0.173
The Township of Pennsauken,p151JV-3520,P151JV-3520,Google Chrome,132.0.6834.162
The Township of Pennsauken,p151JV-3520,P151JV-3520,Grammarly for Windows,1.2.131.1585
The Township of Pennsauken,p151JV-3520,P151JV-3520,Huntress Agent,0.13.244
The Township of Pennsauken,p151JV-3520,P151JV-3520,Huntress Rio,0.6.16
The Township of Pennsauken,p151JV-3520,P151JV-3520,Intel(R) Management Engine Components,2118.15.0.2277
The Township of Pennsauken,p151JV-3520,P151JV-3520,Microsoft 365 - en-us,16.0.17928.20392
The Township of Pennsauken,p151JV-3520,P151JV-3520,Microsoft 365 - es-es,16.0.17928.20392
The Township of Pennsauken,p151JV-3520,P151JV-3520,Microsoft 365 - fr-fr,16.0.17928.20392
The Township of Pennsauken,p151JV-3520,P151JV-3520,Microsoft 365 Apps for business - en-us,16.0.17928.20392
The Township of Pennsauken,p151JV-3520,P151JV-3520,Microsoft 365 Apps for business - fr-fr,16.0.17928.20392
The Township of Pennsauken,p151JV-3520,P151JV-3520,Microsoft 365 Apps for enterprise - en-us,16.0.17928.20392
The Township of Pennsauken,p151JV-3520,P151JV-3520,Microsoft Edge,132.0.2957.140
The Township of Pennsauken,p151JV-3520,P151JV-3520,Microsoft Intune Management Extension,1.86.105.0
The Township of Pennsauken,p151JV-3520,P151JV-3520,Microsoft OneDrive,24.244.1204.0003
The Township of Pennsauken,p151JV-3520,P151JV-3520,Microsoft Teams classic,1.6.00.29964
The Township of Pennsauken,p151JV-3520,P151JV-3520,Microsoft Teams Meeting Add-in for Microsoft Office,1.24.23304
The Township of Pennsauken,p151JV-3520,P151JV-3520,Microsoft Update Health Tools,5.72.0.0
The Township of Pennsauken,p151JV-3520,P151JV-3520,Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.23.27820,14.23.27820.0
The Township of Pennsauken,p151JV-3520,P151JV-3520,Realtek Ethernet Controller All-In-One Windows Driver,10.48.315.2021
The Township of Pennsauken,p151JV-3520,P151JV-3520,Splashtop Business,3.4.8.3
The Township of Pennsauken,p151JV-3520,P151JV-3520,Splashtop Software Updater,1.5.6.23
The Township of Pennsauken,p151JV-3520,P151JV-3520,Splashtop Streamer,3.7.2.4
The Township of Pennsauken,p151JV-3520,P151JV-3520,Teams Machine-Wide Installer,1.4.0.22976
The Township of Pennsauken,p151JV-3520,P151JV-3520,Windows PC Health Check,3.2.2110.14001
The Township of Pennsauken,p151JV-3520,P151JV-3520,Zoom,5.17.1 (28914)
The Township of Pennsauken,p151JV-3520,P151JV-3520,Zoom,5.8.7 (2058)
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Adobe Reader X (10.1.3),10.1.3
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,AutoElevate,2.9.5
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,CloudRadial Agent,1.6.4.0
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Datto RMM,4.4.2236.2236
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Foresight Driver Installation,2
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Foresight Uninstall FSX 2020 Components v8.8.0.13 ONLINE,v8.8.0.13
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,ForesightFairgrounds version 1.4.0.0,1.4.0.0
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,FSX Play,1.14.0.3
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,FSX Pro version 2.0.1,2.0.1
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,FSX version 8.8.0.13,8.8.0.13
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Huntress Agent,0.13.246
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Huntress Rio,0.6.16
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Microsoft .NET SDK 5.0.408 (x64),5.4.822.21928
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Microsoft DirectX SDK (June 2010),9.29.1962.0
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Microsoft Edge,132.0.2957.140
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Microsoft OneDrive,24.244.1204.0003
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Microsoft Update Health Tools,5.72.0.0
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17,9.0.30729
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Microsoft Visual C++ 2010  x64 Redistributable - 10.0.30319,10.0.30319
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319,10.0.30319
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,12.0.30501.0
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660,12.0.40660.0
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.22.27821,14.22.27821.0
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.32.31332,14.32.31332.0
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,NVIDIA FrameView SDK 1.2.7521.31103277,1.2.7521.31103277
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,NVIDIA GeForce Experience 3.25.1.27,3.25.1.27
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,NVIDIA Graphics Driver 552.41,552.41
The Township of Pennsauken,DESKTOP-CMK95FV,CC Golf Sim Left,Windows Driver Package - Foresight Sports (WUDFRd) Sample  (02/15/2010 6.0.6001.16549),02/15/2010 6.0.6001.16549
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,AutoElevate,2.9.5
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Cisco Webex Meetings,44.9.0
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,CloudRadial Agent,1.6.4.0
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Datto RMM,4.4.2236.2236
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Google Chrome,132.0.6834.160
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,GoTo 4.11.0,4.11.0
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,GoTo Opener,1.0.568
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,GoToMeeting 10.20.0.19992,10.20.0.19992
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Huntress Agent,0.13.246
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Huntress Rio,0.6.16
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Kyocera Product Library,6.0.4912
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Lenovo Vantage Service,4.2.24.0
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,MCSJ Client 2023.1,2023.1
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Microsoft 365 - en-us,16.0.17928.20392
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Microsoft 365 Apps for business - en-us,16.0.17928.20392
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Microsoft 365 Apps for enterprise - en-us,16.0.17928.20392
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Microsoft Edge,132.0.2957.140
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Microsoft Intune Management Extension,1.86.105.0
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Microsoft OneDrive,25.004.0109.0002
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Microsoft Teams Meeting Add-in for Microsoft Office,1.24.31301
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Microsoft Update Health Tools,3.74.0.0
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,NVIDIA Graphics Driver 566.07,566.07
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,NVIDIA PhysX System Software 9.21.0713,9.21.0713
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Realtek Audio Driver,6.0.9233.1
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,SHARP Driver Uninstall Tool,1.2.1.3
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Status Monitor 5,5.0.9814
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Teams Machine-Wide Installer,1.6.0.22378
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Update for x64-based Windows Systems (KB5001716),8.94.0.0
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Webex,43.10.0.28042
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Windows PC Health Check,3.6.2204.08001
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Xerox Desktop Print Experience 8.0,8.110.9.0
The Township of Pennsauken,Elizabeth-23PC,DESKTOP-OVA54M7,Zoom Workplace,6.2.11 (50939)
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Acronis True Image for Western Digital,25.0.39200
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Adobe Acrobat (64-bit),24.005.20399
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,AutoElevate,2.9.5
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Bonjour,3.0.0.10
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Brother PowerENGAGE,1.0.27
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,CloudRadial Agent,1.6.4.0
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Datto RMM,4.4.2236.2236
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Dell Command | Update for Windows Universal,4.4.0
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Dell SupportAssist,3.10.4.18
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Dell SupportAssist OS Recovery Plugin for Dell Update,5.4.1.14954
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Dell Watchdog Timer Driver,1.0.0.4
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,EPSON Advanced Printer Driver 4,4.56.0400
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,EPSON Port Communication Service,3.12.0
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,HP LaserJet M610 M611 M612 Basic Device Software,49.6.4509.2031
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Huntress Agent,0.13.246
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Huntress Rio,0.6.16
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Intel(R) Chipset Device Software,10.1.17861.8101
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Intel(R) Management Engine Components,2117.15.0.2272
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Intel(R) Serial IO,30.100.2020.7
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Microsoft 365 Apps for business - en-us,16.0.17928.20392
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Microsoft 365 Apps for enterprise - en-us,16.0.17928.20392
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Microsoft Edge,132.0.2957.140
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Microsoft Intune Management Extension,1.86.105.0
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Microsoft OneDrive,18.151.0729.0013
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Microsoft OneDrive,24.244.1204.0003
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Microsoft Teams,1.3.00.28779
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Microsoft Teams,1.4.00.35564
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Microsoft Update Health Tools,3.74.0.0
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Microsoft Visual C++ 2010  x64 Redistributable - 10.0.30319,10.0.30319
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319,10.0.30319
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Microsoft Visual C++ 2017 Redistributable (x64) - 14.16.27012,14.16.27012.6
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Microsoft Windows Desktop Runtime - 6.0.23 (x64),6.0.23.32930
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Realtek Audio Driver,6.0.8940.1
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Splashtop Software Updater,1.5.6.23
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Splashtop Streamer,3.7.2.4
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Teams Machine-Wide Installer,1.5.0.8070
The Township of Pennsauken,p118kk-7,12-P5070-7 x118,Xerox Desktop Print Experience 8.5,8.145.0.0
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Adobe Acrobat (64-bit),24.005.20399
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",AutoElevate,2.9.5
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",CloudRadial Agent,1.6.4.0
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Datto RMM,4.4.2236.2236
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Dell SupportAssist,3.11.4.29
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Dell SupportAssist OS Recovery Plugin for Dell Update,5.5.1.16143
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",GolfNow Reservations 2017,19.8.84.0
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",GolfNow Reservations Install Helper,19.8.84.0
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Google Chrome,132.0.6834.160
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Huntress Agent,0.13.246
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Huntress Rio,0.6.16
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Intel(R) Management Engine Components,2205.15.0.2623
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",MCSJ Client 4.2.2,4.2.2
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Microsoft .NET Runtime - 5.0.17 (x64),5.0.17.31213
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Microsoft 365 Apps for business - en-us,16.0.17928.20392
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Microsoft 365 Apps for enterprise - en-us,16.0.17928.20392
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Microsoft Edge,132.0.2957.140
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Microsoft Intune Management Extension,1.86.105.0
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Microsoft OneDrive,24.244.1204.0003
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Microsoft POS for .NET 1.12,1.12.1296.00
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Microsoft Teams,1.5.00.8070
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Microsoft Teams Meeting Add-in for Microsoft Office,1.24.31301
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Microsoft Update Health Tools,5.72.0.0
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.24212,14.0.24212.0
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Mozilla Firefox (x64 en-US),135
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",SAP Crystal Reports runtime engine for .NET Framework (32-bit),13.0.17.2096
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",SHARP Driver Uninstall Tool,1.2.1.3
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Spotify,1.2.56.502.ga68d2d4f
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Teams Machine-Wide Installer,1.5.0.8070
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Update for Windows 10 for x64-based Systems (KB5001716),8.92.0.0
The Township of Pennsauken,Greg-22PC-CC,"Country Club, now Greg",Windows PC Health Check,3.6.2204.08001
The Township of Pennsauken,Erica-Penn,ERICA-PENN,AMD Chipset Software,5.04.20.2216
The Township of Pennsauken,Erica-Penn,ERICA-PENN,AutoElevate,2.9.5
The Township of Pennsauken,Erica-Penn,ERICA-PENN,CloudRadial Agent,1.6.4.0
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Datto RMM,4.4.2236.2236
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Huntress Agent,0.13.244
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Huntress Rio,0.6.16
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Lenovo Vantage Service,4.2.24.0
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Microsoft 365 - en-us,16.0.17928.20392
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Microsoft 365 Apps for business - en-us,16.0.17928.20392
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Microsoft 365 Apps for enterprise - en-us,16.0.17928.20392
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Microsoft Edge,132.0.2957.140
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Microsoft Intune Management Extension,1.86.105.0
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Microsoft OneDrive,25.004.0109.0002
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Microsoft OneNote - en-us,16.0.17928.20392
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Microsoft Teams Meeting Add-in for Microsoft Office,1.24.31301
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Microsoft Update Health Tools,5.72.0.0
The Township of Pennsauken,Erica-Penn,ERICA-PENN,Realtek Audio Driver,6.0.9700.1
The Township of Pennsauken,Kevin-22PC,Country Club,Adobe Acrobat (64-bit),24.005.20399
The Township of Pennsauken,Kevin-22PC,Country Club,AutoElevate,2.9.5
The Township of Pennsauken,Kevin-22PC,Country Club,CloudRadial Agent,1.6.4.0
The Township of Pennsauken,Kevin-22PC,Country Club,Datto RMM,4.4.2236.2236
The Township of Pennsauken,Kevin-22PC,Country Club,Dell SupportAssist,3.11.4.29
The Township of Pennsauken,Kevin-22PC,Country Club,Dell SupportAssist OS Recovery Plugin for Dell Update,5.5.1.16143
The Township of Pennsauken,Kevin-22PC,Country Club,GolfNow Reservations Install Helper,19.8.84.0
The Township of Pennsauken,Kevin-22PC,Country Club,Google Chrome,132.0.6834.160
The Township of Pennsauken,Kevin-22PC,Country Club,Huntress Agent,0.13.246
The Township of Pennsauken,Kevin-22PC,Country Club,Huntress Rio,0.6.16
The Township of Pennsauken,Kevin-22PC,Country Club,Ignite 12,12.18
The Township of Pennsauken,Kevin-22PC,Country Club,Intel(R) Management Engine Components,2205.15.0.2623
The Township of Pennsauken,Kevin-22PC,Country Club,MCSJ Client 4.2.2,4.2.2
The Township of Pennsauken,Kevin-22PC,Country Club,Microsoft .NET Runtime - 5.0.17 (x64),5.0.17.31213
The Township of Pennsauken,Kevin-22PC,Country Club,Microsoft 365 Apps for business - en-us,16.0.17928.20392
The Township of Pennsauken,Kevin-22PC,Country Club,Microsoft 365 Apps for enterprise - en-us,16.0.17928.20392
The Township of Pennsauken,Kevin-22PC,Country Club,Microsoft Edge,132.0.2957.140
The Township of Pennsauken,Kevin-22PC,Country Club,Microsoft Intune Management Extension,1.83.107.0
The Township of Pennsauken,Kevin-22PC,Country Club,Microsoft OneDrive,24.244.1204.0003
The Township of Pennsauken,Kevin-22PC,Country Club,Microsoft POS for .NET 1.12,1.12.1296.00
The Township of Pennsauken,Kevin-22PC,Country Club,Microsoft Teams Meeting Add-in for Microsoft Office,1.24.25503
The Township of Pennsauken,Kevin-22PC,Country Club,Microsoft Update Health Tools,3.74.0.0
The Township of Pennsauken,Kevin-22PC,Country Club,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,12.0.30501.0
The Township of Pennsauken,Kevin-22PC,Country Club,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,12.0.30501.0
The Township of Pennsauken,Kevin-22PC,Country Club,Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.24212,14.0.24212.0
The Township of Pennsauken,Kevin-22PC,Country Club,Realtek Ethernet Controller All-In-One Windows Driver,10.19.627.2017
The Township of Pennsauken,Kevin-22PC,Country Club,Realtek High Definition Audio Driver,6.0.9175.1
The Township of Pennsauken,Kevin-22PC,Country Club,SHARP Driver Uninstall Tool,1.2.1.3
The Township of Pennsauken,Kevin-22PC,Country Club,Teams Machine-Wide Installer,1.5.0.8070
The Township of Pennsauken,Kevin-22PC,Country Club,TU2-ET100,1.00.0000
The Township of Pennsauken,Kevin-22PC,Country Club,Update for x64-based Windows Systems (KB5001716),8.94.0.0
The Township of Pennsauken,Kevin-22PC,Country Club,Windows PC Health Check,3.6.2204.08001
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Adobe Acrobat (64-bit),24.005.20399
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Aplicaciones de Microsoft 365 para negocios - es-es,16.0.17928.20392
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",AutoElevate,2.9.5
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",CloudRadial Agent,1.6.4.0
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Datto RMM,4.4.2236.2236
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Dell Command | Update for Windows 10,4.1.0
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Dell Optimizer Service,2.0.651.0
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Dell SupportAssist,3.10.3.3
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Dell SupportAssist OS Recovery Plugin for Dell Update,5.4.1.14954
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Dell SupportAssist Remediation,5.4.3.15135
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Dell Watchdog Timer Driver,1.0.0.6
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",ExpressConnect Drivers & Services,1.0.169
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Google Chrome,132.0.6834.160
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",GoTo Opener,1.0.539
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",GoToMeeting 10.20.0.19992,10.20.0.19992
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Huntress Agent,0.13.246
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Huntress Rio,0.6.16
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Intel(R) Management Engine Components,2036.15.0.1835
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Kyocera Product Library,6.0.1308
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Microsoft 365 - en-us,16.0.17928.20392
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Microsoft 365 - es-es,16.0.17928.20392
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Microsoft 365 - fr-fr,16.0.17928.20392
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Microsoft 365 Apps for business - en-us,16.0.17928.20392
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Microsoft 365 Apps for business - fr-fr,16.0.17928.20392
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Microsoft 365 Apps for enterprise - en-us,16.0.17928.20392
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Microsoft Edge,132.0.2957.140
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Microsoft Intune Management Extension,1.86.105.0
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Microsoft OneDrive,25.004.0109.0002
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Microsoft Teams Meeting Add-in for Microsoft Office,1.24.31301
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Microsoft Update Health Tools,3.74.0.0
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.23.27820,14.23.27820.0
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",PowerCamaLauncherSetup45,1.0.3
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Shift 127.8.0,127.8.0
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Splashtop Business,3.4.6.0
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Splashtop Software Updater,1.5.6.23
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Splashtop Streamer,3.7.2.4
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Teams Machine-Wide Installer,1.4.0.7174
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Update for x64-based Windows Systems (KB5001716),8.94.0.0
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",VanDyke Software SecureCRT 4.1,4.1
The Township of Pennsauken,116JD-5080,"116JD-5080, 116",Zoom,5.15.11 (21032)
The Township of Pennsauken,Dana-22NB,Dana,Adobe Acrobat (64-bit),24.005.20320
